ESTADO,PREÇO MÍNIMO DISTRIBUIÇÃO
DISTRITO FEDERAL,0.4201
GOIAS,0.5013
MATO GROSSO,0.5614
MATO GROSSO DO SUL,0.5991
ALAGOAS,0.7441
BAHIA,0.5686
CEARA,0.7332
MARANHAO,0.9923
PARAIBA,0.7577
PERNAMBUCO,0.5643
PIAUI,0.8857
RIO GRANDE DO NORTE,0.7119
SERGIPE,0.8267
ACRE,0.767
AMAPA,0.8339
AMAZONAS,0.9515
PARA,0.7564
RONDONIA,0.52
RORAIMA,0.9798
TOCANTINS,0.51022
ESPIRITO SANTO,0.6259
MINAS GERAIS,0.3797
RIO DE JANEIRO,0.326
SAO PAULO,0.4271
PARANA,0.4357
RIO GRANDE DO SUL,0.644
SANTA CATARINA,0.57
DISTRITO FEDERAL,0.4094
GOIAS,0.5552
MATO GROSSO,0.7081
MATO GROSSO DO SUL,0.5958
ALAGOAS,0.7561
BAHIA,0.56
CEARA,0.92
MARANHAO,0.9224
PARAIBA,0.7577
PERNAMBUCO,0.682
PIAUI,0.8678
RIO GRANDE DO NORTE,0.7119
SERGIPE,0.682
ACRE,0.767
AMAPA,1.3518
AMAZONAS,0.942
PARA,0.6099
RONDONIA,0.52
RORAIMA,0.9798
TOCANTINS,0.529
ESPIRITO SANTO,0.6259
MINAS GERAIS,0.3797
RIO DE JANEIRO,0.3257
SAO PAULO,0.43204
PARANA,0.4337
RIO GRANDE DO SUL,0.644
SANTA CATARINA,0.57
DISTRITO FEDERAL,0.3879
GOIAS,0.479
MATO GROSSO,0.5614
MATO GROSSO DO SUL,0.5958
ALAGOAS,0.7561
BAHIA,0.47
CEARA,0.849
MARANHAO,0.9521
PARAIBA,0.75574
PERNAMBUCO,0.682
PIAUI,0.8857
RIO GRANDE DO NORTE,0.7119
SERGIPE,0.7828
ACRE,0.767
AMAPA,1.3518
AMAZONAS,0.7874
PARA,0.7564
RONDONIA,0.7443
RORAIMA,0.9798
TOCANTINS,0.5537
ESPIRITO SANTO,0.603
MINAS GERAIS,0.3797
RIO DE JANEIRO,0.38909
SAO PAULO,0.34951
PARANA,0.4337
RIO GRANDE DO SUL,0.616
SANTA CATARINA,0.626
DISTRITO FEDERAL,0.4094
GOIAS,0.5614
MATO GROSSO,0.62
MATO GROSSO DO SUL,0.448
ALAGOAS,0.7441
BAHIA,0.5686
CEARA,0.85727
MARANHAO,0.9073
PARAIBA,0.7577
PERNAMBUCO,0.682
PIAUI,0.8483
RIO GRANDE DO NORTE,0.7852
SERGIPE,0.682
ACRE,0.767
AMAPA,1.3518
AMAZONAS,0.9717
PARA,0.7735
RONDONIA,0.7002
RORAIMA,0.9909
TOCANTINS,0.554
ESPIRITO SANTO,0.6662
MINAS GERAIS,0.4802
RIO DE JANEIRO,0.3453
SAO PAULO,0.3398
PARANA,0.435
RIO GRANDE DO SUL,0.55
SANTA CATARINA,0.6351
DISTRITO FEDERAL,0.5169
GOIAS,0.5843
MATO GROSSO,0.5614
MATO GROSSO DO SUL,0.603
ALAGOAS,0.7441
BAHIA,0.5686
CEARA,0.85727
MARANHAO,0.9405
PARAIBA,0.7807
PERNAMBUCO,0.682
PIAUI,0.9758
RIO GRANDE DO NORTE,0.7869
SERGIPE,0.8264
ACRE,0.789
AMAPA,1.1527
AMAZONAS,0.93
PARA,0.7999
RONDONIA,0.7002
RORAIMA,0.9909
TOCANTINS,0.56
ESPIRITO SANTO,0.6662
MINAS GERAIS,0.3797
RIO DE JANEIRO,0.4
SAO PAULO,0.47797
PARANA,0.4357
RIO GRANDE DO SUL,0.55
SANTA CATARINA,0.6602
DISTRITO FEDERAL,0.4094
GOIAS,0.58841
MATO GROSSO,0.654
MATO GROSSO DO SUL,0.603
ALAGOAS,0.7561
BAHIA,0.5686
CEARA,0.8572
MARANHAO,0.9591
PARAIBA,0.7807
PERNAMBUCO,0.71
PIAUI,0.8875
RIO GRANDE DO NORTE,0.78477
SERGIPE,0.682
ACRE,0.789
AMAPA,1.1527
AMAZONAS,0.93
PARA,0.7735
RONDONIA,0.7002
RORAIMA,0.9909
TOCANTINS,0.5621
ESPIRITO SANTO,0.6662
MINAS GERAIS,0.46
RIO DE JANEIRO,0.4126
SAO PAULO,0.48
PARANA,0.4357
RIO GRANDE DO SUL,0.6443
SANTA CATARINA,0.66
DISTRITO FEDERAL,0.4631
GOIAS,0.6395
MATO GROSSO,0.6463
MATO GROSSO DO SUL,0.603
ALAGOAS,0.7847
BAHIA,0.5686
CEARA,0.8572
MARANHAO,0.8995
PARAIBA,0.83347
PERNAMBUCO,0.7306
PIAUI,0.8122
RIO GRANDE DO NORTE,0.7139
